CageID,day,DPI,per_dead,NumberDead,per_plant.eaten,Beauveria_ID,Beauvaty_binary,Botrytis_ID,BBthenBC,BCthenBB,Both
69,7/13/23,1,0.167,1,0.5,BB,y,39,none,39,none 
69,7/16/23,4,1,5,1,BB,y,39,none,39,none 
120,7/13/23,1,0.167,1,0,BB,y,60,BB,none,none 
120,7/15/23,3,1,5,0.8,BB,y,60,BB,none,none 
4,7/15/23,3,0.2,2,1,none,n,39,none,none,none 
4,7/16/23,4,1,4,1,none,n,39,none,none,none 
9,7/15/23,3,0.167,1,1,none,n,46,none,none,none 
9,7/16/23,4,1,5,1,none,n,46,none,none,none 
16,7/15/23,3,0.67,4,1,ANSEF,y,none,none,none,none 
16,7/16/23,4,1,2,1,ANSEF,y,none,none,none,none 
24,7/15/23,3,0.5,3,0.25,BB,y,none,none,none,none 
24,7/16/23,4,1,3,1,BB,y,none,none,none,none 
26,7/15/23,3,1,6,0.2,none,n,39,none,none,none 
29,7/15/23,3,0.33,2,0,ANSEF,y,none,none,none,none 
29,7/16/23,4,1,4,0,ANSEF,y,none,none,none,none 
31,7/15/23,3,0.5,3,0,ANSEF,y,39,none,none,yes 
31,7/16/23,4,1,3,1,ANSEF,y,39,none,none,yes 
34,7/15/23,3,0.5,3,1,ANSEF,y,39,none,none,yes 
34,7/16/23,4,1,3,1,ANSEF,y,39,none,none,yes 
40,7/15/23,3,0.67,4,0,BB,y,39,none,none,yes 
40,7/16/23,4,1,2,1,BB,y,39,none,none,yes 
41,7/15/23,3,0.33,2,0.6,ANSEF,y,46,none,none,yes 
41,7/16/23,4,1,4,1,ANSEF,y,46,none,none,yes 
42,7/15/23,3,0.5,3,1,ANSEF,y,46,none,none,yes 
42,7/16/23,4,0.75,1,1,ANSEF,y,46,none,none,yes 
42,7/18/23,6,1,1,1,ANSEF,y,46,none,none,yes 
43,7/15/23,3,0.167,1,1,ANSEF,y,46,none,none,yes 
43,7/16/23,4,1,5,1,ANSEF,y,46,none,none,yes 
44,7/15/23,3,1,6,0,ANSEF,y,46,none,none,yes 
45,7/15/23,3,0.25,2,1,ANSEF,y,46,none,none,yes 
45,7/16/23,4,1,4,1,ANSEF,y,46,none,none,yes 
46,7/15/23,3,0.83,5,0,BB,y,46,none,none,yes 
46,7/16/23,4,1,1,0,BB,y,46,none,none,yes 
49,7/15/23,3,0.5,3,1,BB,y,46,none,none,yes 
49,7/16/23,4,0.75,2,1,BB,y,46,none,none,yes 
49,7/18/23,6,1,1,1,BB,y,46,none,none,yes 
50,7/15/23,3,0.83,5,0,BB,y,46,none,none,yes 
50,7/16/23,4,1,1,1,BB,y,46,none,none,yes 
52,7/15/23,3,0.25,2,0,ANSEF,y,60,none,none,yes 
52,7/16/23,4,0.75,3,0,ANSEF,y,60,none,none,yes 
52,7/18/23,6,1,1,0,ANSEF,y,60,none,none,yes 
53,7/15/23,3,0.4,3,1,ANSEF,y,60,none,none,yes 
53,7/16/23,4,1,3,1,ANSEF,y,60,none,none,yes 
57,7/15/23,3,0.83,5,1,BB,y,60,none,none,yes 
57,7/16/23,4,1,1,1,BB,y,60,none,none,yes 
58,7/15/23,3,1,6,1,BB,y,60,none,none,yes 
63,7/15/23,3,0.33,2,0.5,ANSEF,y,39,none,39,none 
63,7/16/23,4,1,4,1,ANSEF,y,39,none,39,none 
66,7/15/23,3,0.83,5,0.5,BB,y,39,none,39,none 
66,7/17/23,5,1,1,1,BB,y,39,none,39,none 
67,7/15/23,3,0.83,5,0,BB,y,39,none,39,none 
67,7/16/23,4,1,1,1,BB,y,39,none,39,none 
75,7/15/23,3,0.5,3,0,ANSEF,y,46,none,46,none 
75,7/16/23,4,1,3,1,ANSEF,y,46,none,46,none 
76,7/15/23,3,0.83,5,1,BB,y,46,none,46,none 
76,7/16/23,4,1,1,1,BB,y,46,none,46,none 
77,7/15/23,3,0.167,1,1,BB,y,46,none,46,none 
