CageID,day,DPI,per_dead,per_plant eaten ,Beauveria_ID,Beauvaty_binary,Botrytis_ID,BBthenBC,BCthenBB,Both
1,7/13/23,1.00,0,0.5,none,n,39,none,none,none 
2,7/13/23,1.00,0,0,none,n,39,none,none,none 
3,7/13/23,1.00,0,0,none,n,39,none,none,none 
4,7/13/23,1.00,0,0,none,n,39,none,none,none 
5,7/13/23,1.00,0,0,none,n,39,none,none,none 
6,7/13/23,1.00,0,0,none,n,46,none,none,none 
7,7/13/23,1.00,0,0,none,n,46,none,none,none 
8,7/13/23,1.00,0,0,none,n,46,none,none,none 
9,7/13/23,1.00,0,0,none,n,46,none,none,none 
10,7/13/23,1.00,0,0,none,n,46,none,none,none 
11,7/13/23,1.00,0,0,none,n,60,none,none,none 
12,7/13/23,1.00,0,0,none,n,60,none,none,none 
14,7/13/23,1.00,0,0,none,n,60,none,none,none 
15,7/13/23,1.00,0,0,ANSEF,y,60,none,none,none 
16,7/13/23,1.00,0,0,ANSEF,y,none,none,none,none 
17,7/13/23,1.00,0,0,ANSEF,y,none,none,none,none 
18,7/13/23,1.00,0,0,ANSEF,y,none,none,none,none 
19,7/13/23,1.00,0,0,ANSEF,y,none,none,none,none 
20,7/13/23,1.00,0,0,ANSEF,y,none,none,none,none 
21,7/13/23,1.00,0,0,BB,y,none,none,none,none 
22,7/13/23,1.00,0,0,BB,y,none,none,none,none 
23,7/13/23,1.00,0,0,BB,y,none,none,none,none 
24,7/13/23,1.00,0,0,BB,y,none,none,none,none 
25,7/13/23,1.00,0,0,BB,y,none,none,none,none 
26,7/13/23,1.00,0,0,none,n,39,none,none,none 
27,7/13/23,1.00,0,0,none,n,46,none,none,none 
28,7/13/23,1.00,0,0,none,n,60,none,none,none 
29,7/13/23,1.00,0,0,ANSEF,y,none,none,none,none 
30,7/13/23,1.00,0,0,BB,y,none,none,none,none 
31,7/13/23,1.00,0,0,ANSEF,y,39,none,none,yes 
32,7/13/23,1.00,0,0,ANSEF,y,39,none,none,yes 
33,7/13/23,1.00,0,0,ANSEF,y,39,none,none,yes 
34,7/13/23,1.00,0,0,ANSEF,y,39,none,none,yes 
35,7/13/23,1.00,0,0,ANSEF,y,39,none,none,yes 
36,7/13/23,1.00,0,0,BB,y,39,none,none,yes 
37,7/13/23,1.00,0,0,BB,y,39,none,none,yes 
38,7/13/23,1.00,0,0,BB,y,39,none,none,yes 
39,7/13/23,1.00,0,1,BB,y,39,none,none,yes 
40,7/13/23,1.00,0,0,BB,y,39,none,none,yes 
41,7/13/23,1.00,0,0,ANSEF,y,46,none,none,yes 
42,7/13/23,1.00,0,0.5,ANSEF,y,46,none,none,yes 
43,7/13/23,1.00,0,0,ANSEF,y,46,none,none,yes 
44,7/13/23,1.00,0,0,ANSEF,y,46,none,none,yes 
45,7/13/23,1.00,0,0,ANSEF,y,46,none,none,yes 
46,7/13/23,1.00,0,0,BB,y,46,none,none,yes 
47,7/13/23,1.00,0,0,BB,y,46,none,none,yes 
48,7/13/23,1.00,0,1,BB,y,46,none,none,yes 
49,7/13/23,1.00,0,0,BB,y,46,none,none,yes 
50,7/13/23,1.00,0,0,BB,y,46,none,none,yes 
51,7/13/23,1.00,0,0,ANSEF,y,60,none,none,yes 
52,7/13/23,1.00,0,0,ANSEF,y,60,none,none,yes 
53,7/13/23,1.00,0,0,ANSEF,y,60,none,none,yes 
