,CageID,day,DPI,per_dead,,per_plant.eaten,Beauveria_ID,Beauvaty_binary,Botrytis_ID,BBthenBC,BCthenBB,Both
68,69,7/13/23,1,0.167,1,0.5,BB,y,39,none,39,none 
422,69,7/16/23,4,1,5,1,BB,y,39,none,39,none 
118,120,7/13/23,1,0.167,1,0,BB,y,60,BB,none,none 
354,120,7/15/23,3,1,5,0.8,BB,y,60,BB,none,none 
240,4,7/15/23,3,0.2,2,1,none,n,39,none,none,none 
358,4,7/16/23,4,1,4,1,none,n,39,none,none,none 
245,9,7/15/23,3,0.167,1,1,none,n,46,none,none,none 
363,9,7/16/23,4,1,5,1,none,n,46,none,none,none 
251,16,7/15/23,3,0.67,4,1,ANSEF,y,none,none,none,none 
369,16,7/16/23,4,1,2,1,ANSEF,y,none,none,none,none 
259,24,7/15/23,3,0.5,3,0.25,BB,y,none,none,none,none 
377,24,7/16/23,4,1,3,1,BB,y,none,none,none,none 
261,26,7/15/23,3,1,6,0.2,none,n,39,none,none,none 
264,29,7/15/23,3,0.33,2,0,ANSEF,y,none,none,none,none 
382,29,7/16/23,4,1,4,0,ANSEF,y,none,none,none,none 
266,31,7/15/23,3,0.5,3,0,ANSEF,y,39,none,none,yes 
384,31,7/16/23,4,1,3,1,ANSEF,y,39,none,none,yes 
269,34,7/15/23,3,0.5,3,1,ANSEF,y,39,none,none,yes 
387,34,7/16/23,4,1,3,1,ANSEF,y,39,none,none,yes 
275,40,7/15/23,3,0.67,4,0,BB,y,39,none,none,yes 
393,40,7/16/23,4,1,2,1,BB,y,39,none,none,yes 
276,41,7/15/23,3,0.33,2,0.6,ANSEF,y,46,none,none,yes 
394,41,7/16/23,4,1,4,1,ANSEF,y,46,none,none,yes 
277,42,7/15/23,3,0.5,3,1,ANSEF,y,46,none,none,yes 
395,42,7/16/23,4,0.75,1,1,ANSEF,y,46,none,none,yes 
631,42,7/18/23,6,1,1,1,ANSEF,y,46,none,none,yes 
278,43,7/15/23,3,0.167,1,1,ANSEF,y,46,none,none,yes 
396,43,7/16/23,4,1,5,1,ANSEF,y,46,none,none,yes 
279,44,7/15/23,3,1,6,0,ANSEF,y,46,none,none,yes 
280,45,7/15/23,3,0.25,2,1,ANSEF,y,46,none,none,yes 
398,45,7/16/23,4,1,4,1,ANSEF,y,46,none,none,yes 
281,46,7/15/23,3,0.83,5,0,BB,y,46,none,none,yes 
399,46,7/16/23,4,1,1,0,BB,y,46,none,none,yes 
284,49,7/15/23,3,0.5,3,1,BB,y,46,none,none,yes 
402,49,7/16/23,4,0.75,2,1,BB,y,46,none,none,yes 
638,49,7/18/23,6,1,1,1,BB,y,46,none,none,yes 
285,50,7/15/23,3,0.83,5,0,BB,y,46,none,none,yes 
403,50,7/16/23,4,1,1,1,BB,y,46,none,none,yes 
287,52,7/15/23,3,0.25,2,0,ANSEF,y,60,none,none,yes 
405,52,7/16/23,4,0.75,3,0,ANSEF,y,60,none,none,yes 
641,52,7/18/23,6,1,1,0,ANSEF,y,60,none,none,yes 
288,53,7/15/23,3,0.4,3,1,ANSEF,y,60,none,none,yes 
406,53,7/16/23,4,1,3,1,ANSEF,y,60,none,none,yes 
292,57,7/15/23,3,0.83,5,1,BB,y,60,none,none,yes 
410,57,7/16/23,4,1,1,1,BB,y,60,none,none,yes 
293,58,7/15/23,3,1,6,1,BB,y,60,none,none,yes 
298,63,7/15/23,3,0.33,2,0.5,ANSEF,y,39,none,39,none 
416,63,7/16/23,4,1,4,1,ANSEF,y,39,none,39,none 
301,66,7/15/23,3,0.83,5,0.5,BB,y,39,none,39,none 
537,66,7/17/23,5,1,1,1,BB,y,39,none,39,none 
302,67,7/15/23,3,0.83,5,0,BB,y,39,none,39,none 
420,67,7/16/23,4,1,1,1,BB,y,39,none,39,none 
310,75,7/15/23,3,0.5,3,0,ANSEF,y,46,none,46,none 
428,75,7/16/23,4,1,3,1,ANSEF,y,46,none,46,none 
311,76,7/15/23,3,0.83,5,1,BB,y,46,none,46,none 
429,76,7/16/23,4,1,1,1,BB,y,46,none,46,none 
312,77,7/15/23,3,0.167,1,1,BB,y,46,none,46,none 
430,77,7/16/23,4,0.83,4,1,BB,y,46,none,46,none 
666,77,7/18/23,6,1,1,1,BB,y,46,none,46,none 
316,81,7/15/23,3,0.4,3,0,ANSEF,y,60,none,60,none 
434,81,7/16/23,4,1,3,0,ANSEF,y,60,none,60,none 
318,83,7/15/23,3,0.2,2,0.95,ANSEF,y,60,none,60,none 
436,83,7/16/23,4,1,4,1,ANSEF,y,60,none,60,none 
319,84,7/15/23,3,1,6,0.8,ANSEF,y,60,none,60,none 
320,85,7/15/23,3,0.167,1,1,ANSEF,y,60,none,60,none 
438,85,7/16/23,4,1,5,1,ANSEF,y,60,none,60,none 
322,87,7/15/23,3,0.33,2,1,BB,y,60,none,60,none 
440,87,7/16/23,4,1,4,1,BB,y,60,none,60,none 
327,92,7/15/23,3,0.5,3,1,ANSEF,y,39,ANSEF,none,none 
445,92,7/16/23,4,1,3,1,ANSEF,y,39,ANSEF,none,none 
